Autor;Titel;Hauptfiguren_Goldstandard
Auerbach, Berthold;Barfüßele;Amrei, Dami
Bleibtreu, Karl;Größenwahn;Graf Xaver Krastinik, Eduard Rother
Dohm, Hedwig;Schicksale einer Seele;Marlene Bucher, Arnold
Fontane, Theodor;Der Stechlin;Dubslav von Stechlin
Fontane, Theodor;Irrungen, Wirrungen;Lene, Botho von Rienäcker
Freytag, Gustav;Soll und Haben;Anton Wohlfahrt, Veitel Itzig
Freytag, Gustav;Die verlorene Handschrift;Felix Werner
Keyserling, Eduard von;Wellen;Gräfin Doralice, Nini, Lolo, Generalin Palikow
Kurz, Hermann;Der Sonnenwirt;Frieder Schwan, Christine
Kürnberger, Ferdinand;Der Amerika-Müde;Moorfeld, Benthal
Meyrink, Gustav;Der Golem;Athanasius Pernath, Aaron Wasserturm
Raabe, Wilhelm;Der Hungerpastor;Hans Unwirrsch, Moses Freudenstein
Rilke, Rainer Maria;Die Aufzeichnungen des Malte Laurids Brigge;Malte Laurids Brigge
Schnitzler, Arthur;Der Weg ins Freie;Baron Georg von Wergenthin
Spielhagen, Friedrich;Problematische Naturen;Dr. Oswald Stein
Stifter, Adalbert;Die Mappe meines Urgroßvaters;Augustinus
Stifter, Adalbert;Witiko;Witiko
Wassermann, Jakob;Caspar Hauser;Caspar Hauser
Meyer, Conrad Ferdinand;Georg Jenatsch;Georg Jenatsch, Pompejus Planta, Lucia, Heinrich von Rohan, Richelieu, Lukretia
