mention,freq,filename
Walter,175,DEU073_Schicksale_einer_Seele.txt.tsv
Arnold,57,DEU073_Schicksale_einer_Seele.txt.tsv
Charlotte,34,DEU073_Schicksale_einer_Seele.txt.tsv
Traut,30,DEU073_Schicksale_einer_Seele.txt.tsv
Adalbert,28,DEU073_Schicksale_einer_Seele.txt.tsv
Marlene,21,DEU073_Schicksale_einer_Seele.txt.tsv
Wolf Brant,15,DEU073_Schicksale_einer_Seele.txt.tsv
Gott,12,DEU073_Schicksale_einer_Seele.txt.tsv
Alice,11,DEU073_Schicksale_einer_Seele.txt.tsv
Walterchen,11,DEU073_Schicksale_einer_Seele.txt.tsv
Philomela,11,DEU073_Schicksale_einer_Seele.txt.tsv
Helena,10,DEU073_Schicksale_einer_Seele.txt.tsv
Wilhelm,9,DEU073_Schicksale_einer_Seele.txt.tsv
Pierrot,8,DEU073_Schicksale_einer_Seele.txt.tsv
Erich,7,DEU073_Schicksale_einer_Seele.txt.tsv
traut,6,DEU073_Schicksale_einer_Seele.txt.tsv
Pierrette,6,DEU073_Schicksale_einer_Seele.txt.tsv
Julie,5,DEU073_Schicksale_einer_Seele.txt.tsv
August,5,DEU073_Schicksale_einer_Seele.txt.tsv
Lina,5,DEU073_Schicksale_einer_Seele.txt.tsv
Veronika,5,DEU073_Schicksale_einer_Seele.txt.tsv
Auguste,5,DEU073_Schicksale_einer_Seele.txt.tsv
Fräulein Claus,5,DEU073_Schicksale_einer_Seele.txt.tsv
Madonna,5,DEU073_Schicksale_einer_Seele.txt.tsv
Mignon,4,DEU073_Schicksale_einer_Seele.txt.tsv
Klärchen,4,DEU073_Schicksale_einer_Seele.txt.tsv
Paulinchen,4,DEU073_Schicksale_einer_Seele.txt.tsv
Göthe,4,DEU073_Schicksale_einer_Seele.txt.tsv
Jesus,4,DEU073_Schicksale_einer_Seele.txt.tsv
Bettina,4,DEU073_Schicksale_einer_Seele.txt.tsv
Helene Bucher,4,DEU073_Schicksale_einer_Seele.txt.tsv
-,4,DEU073_Schicksale_einer_Seele.txt.tsv
Vetter Erich,4,DEU073_Schicksale_einer_Seele.txt.tsv
Jesu Christi,4,DEU073_Schicksale_einer_Seele.txt.tsv
Sphynx,4,DEU073_Schicksale_einer_Seele.txt.tsv
Elfriede,3,DEU073_Schicksale_einer_Seele.txt.tsv
Napoleon,3,DEU073_Schicksale_einer_Seele.txt.tsv
Tante Berthel,3,DEU073_Schicksale_einer_Seele.txt.tsv
Schiller,3,DEU073_Schicksale_einer_Seele.txt.tsv
Eduard,3,DEU073_Schicksale_einer_Seele.txt.tsv
Consuelo,3,DEU073_Schicksale_einer_Seele.txt.tsv
Moritz,3,DEU073_Schicksale_einer_Seele.txt.tsv
Walter Bucher,3,DEU073_Schicksale_einer_Seele.txt.tsv
Lessing,3,DEU073_Schicksale_einer_Seele.txt.tsv
Bertha,3,DEU073_Schicksale_einer_Seele.txt.tsv
Frau Bronowski,3,DEU073_Schicksale_einer_Seele.txt.tsv
Charlotten,3,DEU073_Schicksale_einer_Seele.txt.tsv
Hamlet,3,DEU073_Schicksale_einer_Seele.txt.tsv
Gräfin Virginia,3,DEU073_Schicksale_einer_Seele.txt.tsv
Jesu,3,DEU073_Schicksale_einer_Seele.txt.tsv
Roth,3,DEU073_Schicksale_einer_Seele.txt.tsv
Todt,3,DEU073_Schicksale_einer_Seele.txt.tsv
Maria,3,DEU073_Schicksale_einer_Seele.txt.tsv
Philomele,2,DEU073_Schicksale_einer_Seele.txt.tsv
Egbert,2,DEU073_Schicksale_einer_Seele.txt.tsv
Schwester Alice,2,DEU073_Schicksale_einer_Seele.txt.tsv
Goethe,2,DEU073_Schicksale_einer_Seele.txt.tsv
Egmont,2,DEU073_Schicksale_einer_Seele.txt.tsv
Freundin Pauline,2,DEU073_Schicksale_einer_Seele.txt.tsv
Frau Buschberg,2,DEU073_Schicksale_einer_Seele.txt.tsv
Herr Schulze,2,DEU073_Schicksale_einer_Seele.txt.tsv
Schulze,2,DEU073_Schicksale_einer_Seele.txt.tsv
Heine,2,DEU073_Schicksale_einer_Seele.txt.tsv
George Sand,2,DEU073_Schicksale_einer_Seele.txt.tsv
Herder,2,DEU073_Schicksale_einer_Seele.txt.tsv
Mephisto,2,DEU073_Schicksale_einer_Seele.txt.tsv
Staffage,2,DEU073_Schicksale_einer_Seele.txt.tsv
Byron,2,DEU073_Schicksale_einer_Seele.txt.tsv
Lohengrin,2,DEU073_Schicksale_einer_Seele.txt.tsv
Bacchus,2,DEU073_Schicksale_einer_Seele.txt.tsv
Anna,2,DEU073_Schicksale_einer_Seele.txt.tsv
Jette,2,DEU073_Schicksale_einer_Seele.txt.tsv
Schopenhauer,2,DEU073_Schicksale_einer_Seele.txt.tsv
Satan,2,DEU073_Schicksale_einer_Seele.txt.tsv
