mention,freq,filename,occurence_order
Moses,5,Raabe_Hungerpastor.txt,3
Hans,4,Raabe_Hungerpastor.txt,4
Raabe,2,Raabe_Hungerpastor.txt,2
Raabes,1,Raabe_Hungerpastor.txt,1
Theophile,1,Raabe_Hungerpastor.txt,9
Anton,1,Raabe_Hungerpastor.txt,11
Jakob,1,Raabe_Hungerpastor.txt,12
Oheim,1,Raabe_Hungerpastor.txt,13
Hans',1,Raabe_Hungerpastor.txt,14
Samuel,1,Raabe_Hungerpastor.txt,18
Georg,10,Schnitzler_Freie.txt,4
Anna,7,Schnitzler_Freie.txt,5
Schnitzlers,2,Schnitzler_Freie.txt,1
Nürnberger,2,Schnitzler_Freie.txt,10
Hofmannsthal,1,Schnitzler_Freie.txt,2
Edmund,1,Schnitzler_Freie.txt,8
Schnitzler,1,Schnitzler_Freie.txt,22
Jenatsch,7,Meyer_Jenatsch.txt,7
Georg,4,Meyer_Jenatsch.txt,1
Meyer,3,Meyer_Jenatsch.txt,2
Pompejus,2,Meyer_Jenatsch.txt,8
Planta,2,Meyer_Jenatsch.txt,9
Georgs,2,Meyer_Jenatsch.txt,10
Heinrich,2,Meyer_Jenatsch.txt,15
Balthasar,1,Meyer_Jenatsch.txt,3
Lucia,1,Meyer_Jenatsch.txt,11
Richelieu,1,Meyer_Jenatsch.txt,19
Lukretia,1,Meyer_Jenatsch.txt,21
Rohan,1,Meyer_Jenatsch.txt,25
Meyers,1,Meyer_Jenatsch.txt,28
Malte,9,Rilke_Malte.txt,3
Rilke,5,Rilke_Malte.txt,2
Rilkes,2,Rilke_Malte.txt,1
H.,2,Rilke_Malte.txt,8
Maltes,2,Rilke_Malte.txt,15
Baudelaires,1,Rilke_Malte.txt,4
Lotte,1,Rilke_Malte.txt,6
Lou,1,Rilke_Malte.txt,10
Nietzsches,1,Rilke_Malte.txt,17
Brigge,1,Rilke_Malte.txt,22
Brahe,1,Rilke_Malte.txt,23
Beethoven,1,Rilke_Malte.txt,24
Elenora,1,Rilke_Malte.txt,25
Karl,1,Rilke_Malte.txt,26
Grischa,1,Rilke_Malte.txt,27
W.,1,Rilke_Malte.txt,31
F.,1,Rilke_Malte.txt,32
G,1,Rilke_Malte.txt,33
Simmels,1,Rilke_Malte.txt,34
Hauser,9,Wassermann_Hauser.txt,5
Biberbach,3,Wassermann_Hauser.txt,7
Stanhope,3,Wassermann_Hauser.txt,11
Kaspar,2,Wassermann_Hauser.txt,1
Daumer,2,Wassermann_Hauser.txt,4
Meyer,2,Wassermann_Hauser.txt,16
Wassermanns,2,Wassermann_Hauser.txt,21
Binder,1,Wassermann_Hauser.txt,2
Georg,1,Wassermann_Hauser.txt,3
Gottfried,1,Wassermann_Hauser.txt,8
Anselm,1,Wassermann_Hauser.txt,12
Hausers,1,Wassermann_Hauser.txt,13
Behold,1,Wassermann_Hauser.txt,24
Tucher,1,Wassermann_Hauser.txt,25
Quandt,1,Wassermann_Hauser.txt,28
Lolo,3,Keyserling_Wellen.txt,3
Nini,2,Keyserling_Wellen.txt,2
Lolos,2,Keyserling_Wellen.txt,4
Knospelius,2,Keyserling_Wellen.txt,6
Doralice,2,Keyserling_Wellen.txt,8
Palikow,1,Keyserling_Wellen.txt,1
Hilmar,1,Keyserling_Wellen.txt,5
Hans,1,Keyserling_Wellen.txt,7
Köhne-Jasky,1,Keyserling_Wellen.txt,10
Anton,8,Freytag_Soll_Haben.txt,3
von,3,Freytag_Soll_Haben.txt,10
Freytag,2,Freytag_Soll_Haben.txt,2
Veitel,2,Freytag_Soll_Haben.txt,4
Leonore,2,Freytag_Soll_Haben.txt,14
Julian,1,Freytag_Soll_Haben.txt,1
O.,1,Freytag_Soll_Haben.txt,6
Hirsch,1,Freytag_Soll_Haben.txt,9
Antons,1,Freytag_Soll_Haben.txt,11
Itzig,1,Freytag_Soll_Haben.txt,15
Ehrenthal,1,Freytag_Soll_Haben.txt,16
Sabine,1,Freytag_Soll_Haben.txt,23
Fontane,1,Freytag_Soll_Haben.txt,25
Ilse,4,Freytag_Handschrift.txt,3
Werner,2,Freytag_Handschrift.txt,8
Gustav,1,Freytag_Handschrift.txt,1
Felix,1,Freytag_Handschrift.txt,2
B,1,Freytag_Handschrift.txt,6
Auerbach,1,Freytag_Handschrift.txt,7
Ilses,1,Freytag_Handschrift.txt,9
Hummel,1,Freytag_Handschrift.txt,10
