filename,gold_name,filename_kindler
DEU039_Problematische_Naturen_Erste_Abtheilung.txt.tsv,Problematische Naturen,Spielhagen_Naturen.txt
DEU005_Der_Sonnenwirt.txt.tsv,Der Sonnenwirt,Kurz_Sonnenwirt.txt
DEU097_Wellen.txt.tsv,Wellen,Keyserling_Wellen.txt
DEU096_Der_Golem.txt.tsv,Der Golem,Meyrink_Golem.txt
DEU073_Schicksale_einer_Seele.txt.tsv,Schicksale einer Seele,Dohm_Schicksale.txt
DEU025_Der_Amerika_Müde.txt.tsv,Der Amerika-Müde,Kürnberger_Amerika.txt
DEU032_Jürg_Jenatsch.txt.tsv,Georg Jenatsch,Meyer_Jenatsch.txt
DEU030_Die_verlorene_Handschrift.txt.tsv,Die verlorene Handschrift,Freytag_Handschrift.txt
DEU038_Der_Hungerpastor.txt.tsv,Der Hungerpastor,Raabe_Hungerpastor.txt
DEU045_Witiko.txt.tsv,Witiko,Stifter_Witiko.txt
DEU079_Die_Aufzeichnungen_des_Malte_Laurids_Brigge.txt.tsv,Die Aufzeichnungen des Malte Laurids Brigge,Rilke_Malte.txt
DEU013_Barfüßele.txt.tsv,Barfüßele,Auerbach_Barfüßele.txt
DEU066_Der_Stechlin.txt.tsv,Der Stechlin,Fontane_Stechlin.txt
DEU007_Die_Mappe_meines_Urgroßvaters.txt.tsv,Die Mappe meines Urgroßvaters,Stifter_Mappe.txt
DEU076_Caspar_Hauser.txt.tsv,Caspar Hauser,Wassermann_Hauser.txt
DEU011_Soll_und_Haben.txt.tsv,Soll und Haben,Freytag_Soll_Haben.txt
DEU061_Größenwahn_ELTeC_ausgabe.txt.tsv,Größenwahn,Bleitreu_Größenwahn.txt
DEU094_Der_Weg_ins_Freie.txt.tsv,Der Weg ins Freie,Schnitzler_Freie.txt
DEU059_Irrungen_Wirrungen.txt.tsv,"Irrungen, Wirrungen",Fontane_Irrungen.txt
